Variant,N core rows,Equation,Horizon (days),Regressor,N,Date clusters,Beta,SE (cluster-by-date),p (cluster-by-date),SE (Driscoll-Kraay),p (Driscoll-Kraay),SE (month block bootstrap),Predicted sign (P1),Sign check
alt_D_q1k,9415,outcome=D,14,L,9345,1869,0.013448991240798978,0.0030311161787368816,9.65492057693472e-06,0.0050415916108324625,0.0077053283298132305,0.005724227251790124,-,"WRONG SIGN (predicted -, got +)"
alt_D_q1k,9415,outcome=D,14,S,9345,1869,-0.012639360229720545,0.006058439573652013,0.03709222265325933,0.009533044283265827,0.18505241353742527,0.010473565621406179,(no prior),n/a (no P1 prior)
alt_D_q1k,9415,outcome=D,14,D,9345,1869,-0.73383806122103,0.03075880279740481,4.9159869987592805e-110,0.038782958945952295,3.419429573395009e-73,0.039637638900238935,(no prior),n/a (no P1 prior)
alt_D_q1k,9415,outcome=D,30,L,9265,1853,0.016529908575491085,0.0031524243772912347,1.7553119944510167e-07,0.0070203554151601405,0.018648097924753495,0.007257029109893206,-,"WRONG SIGN (predicted -, got +)"
alt_D_q1k,9415,outcome=D,30,S,9265,1853,-0.014792702723803229,0.00624844267475494,0.018014745941024066,0.012677703845332703,0.24342996380016194,0.01219338905290739,(no prior),n/a (no P1 prior)
alt_D_q1k,9415,outcome=D,30,D,9265,1853,-0.762637111677923,0.031787011746332285,5.469129815496417e-111,0.05302081541273723,1.4992023650140854e-44,0.053964336051941814,(no prior),n/a (no P1 prior)
alt_D_q100k,9415,outcome=S,1,L,9410,1882,0.021955309247935605,0.0014902439695119562,1.411764632808776e-46,0.0015276283986941019,1.6119875869276748e-44,0.0024670403868280928,+,"MATCH (p<.05, DK)"
alt_D_q100k,9415,outcome=S,1,D,9410,1882,-0.011781739014075504,0.002708927039156159,1.4393172600768504e-05,0.0029036830611503758,5.1625972301390694e-05,0.004719685179287138,-,"MATCH (p<.05, DK)"
alt_D_q100k,9415,outcome=S,1,S,9410,1882,-0.39350486448677796,0.01805553158987071,4.425658686988836e-94,0.01917896984330538,1.3828557196879005e-84,0.02511782820653592,(no prior),n/a (no P1 prior)
alt_D_q100k,9415,outcome=S,7,L,9380,1876,0.025734260480600818,0.0015842174319503398,1.2839182710746846e-55,0.0022497133818000126,2.4494779498191786e-29,0.0029875399432654883,+,"MATCH (p<.05, DK)"
