date,legs,routes,single_leg_routes,multi_leg_routes,round_trip_routes,economic_multileg_routes,cross_venue_routes,cross_venue_share,cross_venue_usd_share,cross_venue_share_unfiltered,cross_venue_usd_share_unfiltered,round_trip_share_of_multileg,round_trip_usd_share_of_multileg,economic_multileg_usd,cross_venue_usd,total_usd,venues_active
2023-02-23,129188,100017,77356,22661,2231,20430,4259,0.2084679393049437,0.38696533078823625,0.2625656414103526,0.5469649805089648,0.09845108335907506,0.28295538932683795,196452590.1247797,76020341.52184117,1286448058.549994,5
2023-02-24,133320,103480,80512,22968,2278,20690,3985,0.19260512324794588,0.43840251020230936,0.24338209683037268,0.5159342094053206,0.09918146987112504,0.238072587944656,262662811.25566036,115152035.7912769,1357211993.7922513,5
2023-02-25,127137,99014,77306,21708,2350,19358,4279,0.2210455625581155,0.35968841879395214,0.27717892021374607,0.4008787294100484,0.10825502119034458,0.12770419332599203,157603572.81442952,56688179.90189966,754612512.2801915,5
2023-02-26,120966,94675,73974,20701,2211,18490,4243,0.2294753921038399,0.36791796042409874,0.2825950437176948,0.542078488206907,0.10680643447176465,0.3204118363603596,133232912.06123379,49018781.26693244,1157540751.3503437,5
2023-02-27,138229,106581,82623,23958,2356,21602,4593,0.21261920192574763,0.4296773173359029,0.25886968862175475,0.539349898872747,0.09833875949578429,0.26803516100206415,251305433.09489858,107980244.32415326,1149642013.7741303,5
2023-02-28,160850,125867,99047,26820,2822,23998,5093,0.2122260188349029,0.5107370290866312,0.2682326621923937,0.6398952704565544,0.1052199850857569,0.29506599856816573,213096510.9618947,108836278.91740483,1072147417.621944,5
2023-03-01,166659,128453,99438,29015,3019,25996,5582,0.21472534236036314,0.47757930484472,0.2650008616232983,0.5516104041861882,0.10404962950198174,0.22230885131083997,248581903.5838529,118717572.71055368,1298672685.1706402,5
2023-03-02,176809,136521,105587,30934,3514,27420,6416,0.23398978847556529,0.38065483696554847,0.2922350811404927,0.5293646354333961,0.11359668972651452,0.2603683454948211,255542795.26558396,97273601.0695414,1374926300.23461,5
2023-03-03,187525,148395,117627,30768,2957,27811,5086,0.1828772787745856,0.3859740404332496,0.23530941237649505,0.4616180625434682,0.09610634425377015,0.16957850451361747,248694941.8143635,95989791.5274018,1385079349.7049778,5
2023-03-04,162116,129750,103705,26045,2060,23985,3890,0.1621846987700646,0.3647307366072959,0.20084469187943943,0.5394712194904278,0.07909387598387406,0.29028308315384554,119391473.01087558,43545739.895886734,649426378.3283787,5
